,name,ingredients,url,image,cookTime,recipeYield,datePublished,prepTime,description,difficulty
80,New Year Noodle Soup,2 TABLESPOONS OLIVE OIL 1 ONION  THINLY SLICED 1 LONG RED CHILI OR GREEN SERRANO  FINELY CHOPPED 1/2 TEASPOON GROUND TURMERIC 1 TEASPOON GROUND CUMIN 1/4 TEASPOON FRESHLY GROUND BLACK PEPPER 8 1/2 CUPS / 2 LITERS GOOD-TASTING VEGETABLE STOCK/BROTH 100G / 3.5 OZ YELLOW SPLIT PEAS OR BROWN LENTILS 1 1/2 CUPS COOKED CHICKPEAS  RINSED IF USING CANNED 2 CUPS / 350G COOKED BORLOTTI BEANS FINE GRAIN SEA SALT 120 G THIN EGG NOODLES  FRESH OR DRIED 3 1/2 OZ / 100G FRESH SPINACH LEAVES  FINELY SHREDDED 1/2 CUP FINELY SHREDDED CILANTRO LEAVES 2 TABLESPOONS CHOPPED FRESH DILL JUICE OF ONE LIME TOPPINGS: 1 TABLESPOON OLIVE OIL 1 TABLESPOON UNSALTED BUTTER 1 LARGE ONION  THINLY SLICED 100 ML SOUR CREAM OR CREME FRAICHE 50G / SCANT 2 OUNCES OF TOASTED  CHOPPED WALNUTS,http://www.101cookbooks.com/archives/new-year-noodle-soup-recipe.html,http://www.101cookbooks.com/mt-static/images/food/newyear_noodle_soup_recipe_xl.jpg,PT40M,,2011-01-01,PT20M,"An amazing New Year Noodle Soup from Greg &amp; Lucy Malouf's beautiful book, Saraban. It's a bean and noodle soup at its core featuring thin egg noodles swimming in a fragrant broth spiced with turmeric, cumin, chiles, and black pepper. You use a medley of lentils, chickpeas, and borlotti beans which makes the soup heart and filling without being heavy. You add spinach, dill, and cilantro. You add lime juice for a bit of sour at the end. And then you've got a number of toppings to add when you serve the soup - chopped walnuts, caramelized onions, and sour cream. Amazing.",Medium
81,Moroccan Mint Roasted Vegetables,1 LB / 16 OZ / 450 G MIX OF POTATOES  CAULIFLOWER  AND A FEW RADISHES (SAVE THE TOPS) 1 1/2 TEASPOONS DRIED MINT 1/2 TEASPOON RED CHILE PEPPER FLAKES 1/2 TEASPOON CUMIN SEEDS 1/2 TEASPOON FINE GRAIN SEA SALT 1 TEASPOON GROUND CUMIN 1/2 TEASPOON CINNAMON 1 TEASPOON GROUND GINGER 4 TABLESPOONS EXTRA VIRGIN OLIVE OIL A SQUEEZE OF FRESH LEMON JUICE TOPPINGS: FRESH MINT  TOASTED SESAME AND/OR PUMPKIN SEEDS  PLAIN YOGURT (SEASONED WITH A BIT OF SALT),http://www.101cookbooks.com/archives/moroccan-mint-roasted-vegetables-recipe.html,http://www.101cookbooks.com/mt-static/images/food/moroccan_vegetables.jpg,PT15M,Serves 4.,2012-02-22,PT5M,"A few snapshots from my week in Marrakesh, Morocco + the recipe for a platter of roasted vegetables spiced with dried mint, cumin, ginger, cinnamon, and a kiss of chile. So good with a dollop of salted yogurt and a sprinkle of toasted sesame seeds.",Easy
82,A Simple Tomato Soup,4 TABLESPOONS UNSALTED BUTTER  OLIVE OIL  OR COCONUT OIL 2 MEDIUM YELLOW ONIONS  THINLY SLICED 1 TEASPOON FINE GRAIN SEA SALT  PLUS MORE TO TASTE 3 TEASPOONS CURRY POWDER 1 TEASPOON GROUND CORIANDER 1 TEASPOON GROUND CUMIN 1/2 TEASPOON CHILE FLAKES 2 (28-OUNCE) CANS WHOLE TOMATOES (PREF. FIRE-ROASTED) 1 14-OUNCE CAN COCONUT MILK TO SERVE: ANY OF THE FOLLOWING THAT SOUND GOOD TO YOU - COOKED BROWN RICE  LEMON WEDGES  TOASTED ALMOND SLICES  PAN-FRIED PANEER  FRESH THYME OR OREGANO  OREGANO DRIZZLE  A POACHED EGG,http://www.101cookbooks.com/archives/a-simple-tomato-soup-recipe.html,http://www.101cookbooks.com/mt-static/images/food/brothy_tomato_soup_recipe.jpg,PT25M,,2012-03-06,PT5M,"A simple tomato soup recipe inspired by a Melissa Clark recipe - pureed, warmly spiced, and perfect topped with everything from toasted almonds and herbs, to coconut cream or a poached egg.",Medium
83,Broccolini Salad,1 LB / 16 OZ / 450 G  BABY BROCCOLI / BROCCOLINI  TRIMMED  AND EACH STALK HALVED IF YOU LIKE 3 BUNCHES SCALLIONS  TRIMMED AND THINLY SLICED 1 SMALL SERRANO CHILE PEPPER  DEVEINED  SEEDED AND MINCED (OPT) 1/2 CUP / 120 ML EXTRA VIRGIN OLIVE OIL FINE GRAIN SEA SALT 3 BIG HANDFULS OF BIG  RUSTIC CROUTONS A SQUEEZE OF FRESH LEMON JUICE. 1 CUP / 4 OZ / 115 G SLICED ALMONDS  TOASTED 4 - 6 OZ FRESH MOZZARELLA CHEESE  TORN INTO BIG CHUNKS,http://www.101cookbooks.com/archives/broccolini-salad-recipe.html,http://www.101cookbooks.com/mt-static/images/food/broccolini_salad_recipe.jpg,PT10M,Serves 4 - 6.,2012-04-05,PT10M,"Big bowl of green - broccolini tossed with big croutons, tons of scallion slices, mozzarella, toasted almonds, and a hit of serrano pepper.",Easy
84,Pumpkin and Rice Soup,2 TABLESPOONS UNSALTED BUTTER 1 MEDIUM ONION  CHOPPED 1 LARGE SHALLOT  CHOPPED 1/2 SERRANO CHILE  SEEDS AND ALL  CHOPPED FINE GRAIN SEA SALT 1 1/2 POUNDS PUMPKIN/SQUASH FLESH  SEEDED  PEELED  AND CUT INTO 3/4-INCH CHUNKS 1 TEASPOON FRESH GINGER JUICE  PRESSED FROM GRATED GINGER COOKED BROWN RICE  WARM OTHER TOPPINGS: PLAIN YOGURT  TOASTED PEPITAS  LEMON GINGER ROSEMARY BUTTER* (AND PULP),http://www.101cookbooks.com/archives/pumpkin-and-rice-soup-recipe.html,http://www.101cookbooks.com/mt-static/images/food/pumpkin_rice_soup.jpg,PT25M,Serves 4-6.,2012-10-27,PT10M,The pumpkin soup I made as soon as I got home from India - with an herby butter drizzle and lemon ginger pulp. And some pictures of a photo session on the street in Jaipur.,Medium
85,Posole in Broth,1 LB / 2 1/2 CUPS DRIED POSOLE / HOMINY 1 MEDIUM WHITE OR YELLOW ONION 5 CUPS GREAT-TASTING BROTH (SEE HEAD NOTE) 1 SERRANO CHILE  SEEDED AND MINCED 2 CUPS / 12 OUNCES COOKED MUNG BEANS  OPTIONAL** 1 BUNCH OF SCALLIONS  TRIMMED AND SHREDDED TO SERVE: CHOPPED OLIVES  SLICED AVOCADO  SPROUTS OR MICRO GREENS  TOASTED SLICED ALMONDS  AND/OR A DRIZZLE OF OLIVE OR LEMON OIL.,http://www.101cookbooks.com/archives/posole-in-broth-recipe.html,http://www.101cookbooks.com/mt-static/images/food/posole_in_broth_recipe.jpg,PT70M,Serves 6-8.,2013-01-01,PT10M,"Posole for the new year - it has a vegetable broth base, lots of blossoming corn kernels, avocado and mung beans. Topped with chopped olives and toasted almonds it's A+...",Hard
86,Brazil Nut Butter Cups Recipe,1 1/2 CUPS BRAZIL NUTS  LOOSELY CHOPPED 1 TEASPOON MACADAMIA NUT OIL (OPTIONAL) 2/3 CUP ORGANIC POWDERED SUGAR (I USE WHOLESOME SWEETENERS BRAND) ~1/2 TEASPOON FINELY GROUND SEA SALT A COUPLE PINCHES OF CHILE POWDER (OPT) 1 9.7-OUNCE BAR OF SCHARFFEN BERGER BITTERSWEET CHOCOLATE  FINELY CHOPPED SPECIAL EQUIPMENT: CHOCOLATE MOLDS  PIPING BAG.,http://www.101cookbooks.com/archives/001371.html,http://www.101cookbooks.com/mt-static/images/food/brazilnutbuttercups1.jpg,,,2006-03-18,,A twist on the traditional peanut butter cup. It uses all-natural ingredients and instead of peanut butterthe chocolate shell envelopes Brazil nut butter.,Unknown
87,Baked Egg Recipe,2-3 TABLESPOONS EXTRA VIRGIN OLIVE OIL 3 BIG PINCHES GROUND CUMIN 2 BIG PINCHES CHILI FLAKES 2 BIG PINCHES SMOKED PAPRIKA 2 BIG PINCHES FINE SEA SALT 1 CUP SPRING (OR REGULAR) ONION  CHOPPED 1 CLOVE GARLIC  CHOPPED 1 CUP CHERRY TOMATOES  HALVED OR QUARTERED 2 PIECES OF PITA BREAD  CUT INTO QUARTERS 6 LARGE ORGANIC EGGS GARNISH: FINELY CHOPPED TOMATOES  CHILE FLAKES  CILANTRO (OPTIONAL) SPECIAL EQUIPMENT: STANDARD 12 MUFFIN TIN,http://www.101cookbooks.com/archives/baked-eggs-recipe.html,http://www.101cookbooks.com/mt-static/images/food/bakedeggrecipe_07.jpg,,Makes six egg cups.,2007-05-18,,"Baked eggs in edible cups with cherry tomatoes, garlic, olive oil and  lots of vibrant spices.",Unknown
88,A Tasty Frittata Recipe,CILANTRO CHILE SAUCE 2 LARGE CLOVES GARLIC 1/2 CUP EXTRA VIRGIN OLIVE OIL 2 TABLESPOONS LEMON JUICE  FRESHLY SQUEEZED 1 SMALL BUNCH CILANTRO 1 GREEN (SERRANO) CHILE  SEEDS REMOVED 2 PINCHES GROUND CUMIN  A COUPLE BIG PINCHES OF SALT  FRITTATA 6 LARGE ORGANIC EGGS 1 TABLESPOON OLIVE OIL 1 SMALL YELLOW ONION  CHOPPED 3 SMALL POTATOES  VERY VERY THINLY SLICED 1/2 CUP YELLOW ZUCCHINI OR CAULIFLOWER 1/2-INCH PIECES 1/4 CUP GOAT CHEESE  CRUMBLED 1/4 CUP PUMPKIN SEEDS  TOASTED  COUPLE PINCHES OF SALT,http://www.101cookbooks.com/archives/a-tasty-frittata-recipe.html,http://www.101cookbooks.com/mt-static/images/food/frittatarecipe_07.jpg,,Serves 2 to 4.,2007-12-20,,"The prettiest, tastiest, frittata recipe. Made with potatoes, onions, and eggs drizzled with a cilantro chile sauce. ",Unknown
89,Spiced Candied Walnuts Recipe,PEANUT OR CANOLA OIL FOR DEEP-FRYING (HS NOTE: HAS ANYONE SEEN AN ORGANIC PEANUT OIL OUT THERE?) FINELY GROUND SEA SALT  PREFERABLY GRAY SALT  FRESHLY GROUND BLACK PEPPER  1/2 TEASPOON GROUND CINNAMON  1/2 TEASPOON CAYENNE PEPPER  4 CUPS WALNUT HALVES  1 CUP CONFECTIONERS' SUGAR  SIFTED 2 CANS (15 1/2 OUNCES EACH) CHICKPEAS (GARBANZO BEANS)  3/4 CUP BUTTERMILK 3/4 CUP OLIVE OIL 1 1/2 CUPS 1ARBORIO RICE COATING (BELOW) 1/4 CUP THINLY SLICED GARLIC  15 FRESH SAGE LEAVES 2 TEASPOONS THIN SERRANO CHILI SLICES (OPTIONAL)  FINELY GROUND SEA SALT  PREFERABLY GRAY SALT  ZEST OF 1 LEMON  CUT INTO JULIENNE  FRESHLY GROUND BLACK PEPPER 1 CUP ARBORIO RICE  3 CUPS UNBLEACHED ALL-PURPOSE FLOUR  1 CUP SEMOLINA FLOUR  2 TABLESPOONS FINELY GROUND SEA SALT  PREFERABLY GRAY SALT  1 TEASPOON FRESHLY GROUND BLACK PEPPER ,http://www.101cookbooks.com/archives/001033.html,http://www.101cookbooks.com/mt-static/images/food/candiedwalnutrecipe.jpg,,Makes 4 cups.Makes about 5 cups.,2005-12-30,,"This candied walnut recipe was is the perfect solution to a New Years Eve hors d'oeuvres dilemma. Made with walnuts, sea salt, black pepper, cinnamon, cayenne pepper, and powdered sugar.",Unknown
90,Monica Bhide's Chile Pea Puffs,NONSTICK COOKING SPRAY (HS NOTE: OR A BIT OF OLIVE OIL) 1 CUP COOKED GREEN PEAS  LIGHTLY MASHED 1/4 CUP CRUMBLED PANEER 2 SMALL GREEN SERRANO CHILES  MINCED (REMOVE SEEDS TO REDUCE HEAT) 1/4 TEASPOON SALT TO START 1/4 TEASPOON RED CHILE POWDER OR RED CHILE FLAKES (LESS TO REDUCE HEAT) 1/2 TEASPOON MINCED GARLIC 32 WONTON WRAPPERS 1 EGG WHITE  LIGHTLY BEATEN,http://www.101cookbooks.com/archives/monica-bhides-chile-pea-puffs-recipe.html,http://www.101cookbooks.com/mt-static/images/food/pea_puff_recipe.jpg,,Makes 32 puffs.,2009-04-29,,"Monica Bhide's Chile Pea Puff recipe - crispy-skinned baked snacks stuffed with peas, paneer cheese, chiles, and garlic. From her new cookbook - Modern Spice: Inspired Indian Flavors for the Contemporary Kitchen.",Unknown
91,Golden Potstickers,1/2 CUP SUNFLOWER OIL 8 GREEN ONIONS / SCALLIONS  WHITE AND GREEN PARTS  THINLY SLICED 1 SMALL SERRANO CHILES  THINLY SLICED  OR TO TASTE 1 1/2 TABLESPOONS SUGAR 1/4 CUP / 60 ML SOY SAUCE  1/4 CUP / 60 ML WATER 4 TABLESPOONS SUNFLOWER OIL  PLUS MORE FOR PAN-FRYING 1/2 CUP CHOPPED SHALLOTS (4 MEDIUM) 1/2 TEASPOON FINE GRAIN SEA SALT  OR TO TASTE 2 CUPS / 11 OZ / 310 G COOKED YELLOW SPLIT PEAS  IDEALLY AT ROOM TEMPERATURE  THEN PROCESS IN A FOOD PROCESSOR UNTIL UNIFORM AND FLUFFY 1 PACKAGE ROUND POTSTICKER WRAPPERS,http://www.101cookbooks.com/archives/golden-potstickers-recipe.html,http://www.101cookbooks.com/mt-static/images/food/potsticker_recipe.jpg,PT10M,Makes a big platter of dumplings.,2011-10-05,PT60M,"Potstickers - For my flight to London,  I made the filling with lots of caramelized shallots &amp; pureed yellow split peas then pan-fried them until the bottoms were crisp and golden. They freeze like beautifully, perfect for quick dumpling-centric meals later on.",Hard
